,start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,habit_clean,date,minutes_after_sunset,minutes_after_rat_arrival
69,2018-02-10 00:51:00,2.0,rat,2018-02-10 00:49:00,2018-02-10 00:51:00,149,1,0,2,2018-02-09 17:21:00,7.508333333,0,rat,2018-02-10,450.0,2.4833333333333334
70,2018-02-10 00:44:00,7.0,bat,2018-02-10 00:43:00,2018-02-10 00:45:00,61,1,0,2,2018-02-09 17:21:00,7.386111111,0,bat,2018-02-10,443.0,1.0166666666666666
71,2018-02-10 00:44:00,21.0,pick_bat,2018-02-10 00:43:00,2018-02-10 00:45:00,65,1,1,2,2018-02-09 17:21:00,7.387222222,0,pick_bat,2018-02-10,443.0,1.0833333333333333
72,2018-02-10 00:44:00,4.0,pick,2018-02-10 00:43:00,2018-02-10 00:45:00,68,0,1,2,2018-02-09 17:21:00,7.388055556,0,pick,2018-02-10,443.0,1.1333333333333333
73,2018-02-10 00:44:00,2.0,pick,2018-02-10 00:43:00,2018-02-10 00:45:00,80,0,1,2,2018-02-09 17:21:00,7.391388889,0,pick,2018-02-10,443.0,1.3333333333333333
74,2018-02-07 18:11:00,7.0,"94.0,305.0,239.0,416.0; 364.8,139.3,462.3,241.3",2018-02-07 18:11:00,2018-02-07 18:11:00,10,0,0,2,2018-02-07 17:19:00,0.8775,0,Other,2018-02-07,52.0,0.16666666666666666
75,2018-02-07 18:32:00,1.0,rat,2018-02-07 18:29:00,2018-02-07 18:44:00,166,1,0,2,2018-02-07 17:19:00,1.225277778,0,rat,2018-02-07,73.0,2.7666666666666666
76,2018-02-07 22:58:00,14.0,pick,2018-02-07 22:53:00,2018-02-07 22:58:00,299,0,1,2,2018-02-07 17:19:00,5.661944444,0,pick,2018-02-07,339.0,4.983333333333333
77,2018-02-08 01:47:00,8.0,rat attack,2018-02-08 01:47:00,2018-02-08 01:48:00,7,1,0,2,2018-02-07 17:19:00,8.481666667,0,Other,2018-02-08,508.0,0.11666666666666667
78,2018-02-08 01:52:00,1.0,fast,2018-02-08 01:52:00,2018-02-08 01:52:00,2,0,1,2,2018-02-07 17:19:00,8.554722222,0,fast,2018-02-08,513.0,0.03333333333333333
79,2018-02-08 02:06:00,6.0,rat,2018-02-08 02:05:00,2018-02-08 02:09:00,74,1,0,2,2018-02-07 17:19:00,8.796944444,0,rat,2018-02-08,527.0,1.2333333333333334
80,2018-02-08 02:06:00,1.0,rat,2018-02-08 02:05:00,2018-02-08 02:09:00,80,1,0,2,2018-02-07 17:19:00,8.798611111,0,rat,2018-02-08,527.0,1.3333333333333333
81,2018-02-08 02:07:00,7.0,rat,2018-02-08 02:05:00,2018-02-08 02:09:00,99,1,0,2,2018-02-07 17:19:00,8.803888889,0,rat,2018-02-08,528.0,1.65
82,2018-02-08 02:07:00,4.0,rat,2018-02-08 02:05:00,2018-02-08 02:09:00,116,1,0,2,2018-02-07 17:19:00,8.808611111,0,rat,2018-02-08,528.0,1.9333333333333333
83,2018-02-08 02:08:00,4.0,rat,2018-02-08 02:05:00,2018-02-08 02:09:00,200,1,0,2,2018-02-07 17:19:00,8.831944444,0,rat,2018-02-08,529.0,3.3333333333333335
84,2018-02-08 03:41:00,0.035867953,rat,2018-02-08 03:41:00,2018-02-08 03:45:00,27,1,0,2,2018-02-07 17:19:00,10.37444444,0,rat,2018-02-08,622.0,0.45
85,2018-02-02 00:43:00,2.0,fast,2018-02-02 00:40:00,2018-02-02 00:44:00,184,0,1,2,2018-02-01 17:14:00,7.489722222,0,fast,2018-02-02,449.0,3.066666666666667
86,2018-02-02 00:44:00,1.0,rat,2018-02-02 00:40:00,2018-02-02 00:44:00,239,1,0,2,2018-02-01 17:14:00,7.505,0,rat,2018-02-02,450.0,3.9833333333333334
87,2018-02-09 00:06:00,3.0,fast,2018-02-09 00:06:00,2018-02-09 00:06:00,2,0,1,2,2018-02-08 17:20:00,6.767222222,0,fast,2018-02-09,406.0,0.03333333333333333
88,2018-02-09 00:11:00,1.0,rat,2018-02-09 00:09:00,2018-02-09 00:13:00,135,1,0,2,2018-02-08 17:20:00,6.862222222,0,rat,2018-02-09,411.0,2.25
89,2018-02-09 00:26:00,17.0,pick,2018-02-09 00:26:00,2018-02-09 00:32:00,2,0,1,2,2018-02-08 17:20:00,7.114722222,0,pick,2018-02-09,426.0,0.03333333333333333
